trace,pid,frames,policy,tlb_entries,swap_slots,processed_accesses,total_accesses,read_accesses,write_accesses,page_faults,replacements,dirty_evictions,tlb_hits,tlb_misses,tlb_hit_ratio,page_walks,page_walk_levels,average_page_walk_levels,swap_reads,swap_writes
"traces/belady.trace",1,3,"FIFO",1,32,12,12,12,0,9,6,0,0,12,0.000000,12,45,3.750000,0,0
"traces/belady.trace",1,4,"FIFO",1,32,12,12,12,0,10,6,0,0,12,0.000000,12,45,3.750000,0,0
"traces/belady.trace",1,3,"LRU",1,32,12,12,12,0,10,7,0,0,12,0.000000,12,45,3.750000,0,0
"traces/belady.trace",1,4,"LRU",1,32,12,12,12,0,8,4,0,0,12,0.000000,12,45,3.750000,0,0
